0	-13 2	-1015.07	-1230.91	3104.78	105.658	19.2559
1	-13 2	-427.489	-1290.67	2274.22	105.658	19.9384
2	-13 2	-1015.07	1230.91	3104.78	105.658	18.5216
3	-13 2	405.162	710.608	2209.31	105.658	17.204
4	-13 2	1543.11	1176.45	5996.46	105.658	18.2406
5	13 2	1005.46	675.085	3377.21	105.658	17.8438
6	-13 11	761.503	282.657	3182.86	105.658	21.339
7	-13 2	1154.67	1078.52	5503.97	105.658	17.555
8	-13 2	2527.89	2050.95	12634.7	105.658	16.6458
9	-13 2	1598.04	796.751	5029.52	105.658	17.0354
10	-13 3	328.162	139.721	1836.72	105.658	22.3847
11	-13 2	702.246	-130.297	2299.69	105.658	17.3752
12	13 3	1262.18	-653.586	5636.17	105.658	22.7946
13	13 11	1152.23	-733.652	4668.53	105.658	20.455
14	-13 11	715.182	-615.304	2843.33	105.658	19.4646
15	13 3	902.282	-372.784	3199.4	105.658	20.8552
16	-13 3	1624	-1013.63	6570.91	105.658	24.5597
17	-13 2	728.504	-20.9612	2756.3	105.658	18.2053
18	-13 2	155.454	-116.61	434.277	105.658	18.7226
19	-13 3	1739.85	-1018.02	7215.1	105.658	23.9307
20	13 2	325.822	-248.096	1102.18	105.658	17.3384
21	13 2	698.214	-438.077	2317.41	105.658	17.2666
22	-13 3	3683	-1856.64	14511.5	105.658	23.8943
23	-13 2	2444.24	-1530.1	8641.92	105.658	18.9086
24	-13 2	679.253	-68.7498	2047.29	105.658	17.3621
25	13 3	6440.52	-3986.39	25454.6	105.658	23.826
26	-13 11	10497.2	-5853.88	38888.9	105.658	20.3051
27	-13 3	268.023	-56.4632	1231.47	105.658	23.8184
28	-13 3	1317.79	-1166.56	5863.96	105.658	24.5113
29	-13 2	-48.5493	-12.7847	253.826	105.658	18.7944
30	-13 3	1436.44	-606.753	5641.95	105.658	23.2573
31	13 2	337.961	-192.796	1262.35	105.658	17.5512
32	13 0	-27.3555	-1276.93	1313.97	105.658	15.8966
33	13 8	1516.18	-16199.6	15478.7	105.658	11.9659
34	-13 1	315.106	-1253.65	881.157	105.658	10.0637
35	-13 0	2700.95	-6229.18	6835.75	105.658	15.1713
36	13 0	258.591	-2695.11	3011.81	105.658	15.0719
37	-13 8	643.289	-1815.38	1623.18	105.658	13.5214
38	13 2	-423.156	-86.8459	751.069	105.658	18.7078
39	13 2	-853.427	816.448	1896.74	105.658	18.7456
40	-13 2	-87.2617	20.3635	367.964	105.658	17.8345
41	-13 2	-2072.98	1499.95	3288.92	105.658	22.1175
42	13 10	-816.394	-447.934	1159.62	105.658	16.93
43	13 0	287.93	226.675	338.377	105.658	16.2524
44	-13 1	-294.193	-610.282	484.45	105.658	10.405
45	13 1	82.7243	369.852	257.624	105.658	9.5169
46	13 1	91.1625	496.918	299.251	105.658	11.1543
47	-13 8	26123.2	-15584.9	20424.9	105.658	10.9801
48	13 8	5633.16	-3702.86	4900.02	105.658	15.1866
49	13 8	10410.4	-6380.49	9070.66	105.658	14.4621
50	-13 2	2649.5	-2342.69	6231.16	105.658	20.0117
51	13 2	388.535	-311.282	1085.29	105.658	18.9218
52	13 11	238.026	-452.421	1359.92	105.658	20.8568
53	-13 8	-6897.09	909.883	6994.95	105.658	11.9367
54	13 8	-737.268	216.925	725.593	105.658	12.2888
55	-13 8	-2576.74	356.368	2529.43	105.658	11.7969
56	-13 2	-530.894	1121.95	5096.58	105.658	17.1934
57	13 2	-319.196	1357.92	4994.64	105.658	17.2563
58	-13 3	-301.264	170.552	1626.22	105.658	22.0196
59	13 2	3088.46	881.111	6945.6	105.658	18.8779
60	-13 2	794.613	120.799	1697.73	105.658	18.9703
61	-13 2	8071.69	2553.42	17320.8	105.658	18.2083
62	-13 2	1033.08	234.905	2622.77	105.658	17.5047
63	13 2	4787.76	815.071	9820.89	105.658	18.7439
64	-13 2	3920.3	1030.4	8899.48	105.658	18.628
65	13 2	993.82	359.749	2126.75	105.658	18.2681
66	-13 2	1662.48	385.404	3887.95	105.658	18.1258
67	-13 2	1186.02	270.883	2141.18	105.658	19.3609
68	-13 2	1077.91	300.506	2009.14	105.658	19.1709
69	13 2	4715.34	1296.32	9823.45	105.658	19.1044
70	13 11	444.896	110.564	1794.24	105.658	20.2897
71	-13 2	1435.98	297.45	2905.68	105.658	19.4326
72	-13 2	905.633	105.844	2054.2	105.658	18.4684
73	13 2	2523.57	706.918	5541.53	105.658	18.8977
74	13 2	3402.6	511.218	7087.74	105.658	19.0893
75	-13 2	4579.86	1164.5	10755.5	105.658	18.8638
76	-13 2	2230.67	460.824	4574.35	105.658	18.5727
77	13 2	10768.7	2631.7	23476.3	105.658	18.4619
78	13 2	277.969	179.517	641.407	105.658	19.0609
79	13 2	917.411	143.575	1795.44	105.658	18.4599
80	13 2	4504.6	1148.85	9654.29	105.658	18.7312
81	-13 2	1187.42	229.05	2791.25	105.658	18.9391
82	13 0	770.185	-1405.73	1433.6	105.658	15.401
83	13 1	8155.91	-10571.2	7805.03	105.658	10.8073
84	-13 0	-19.7526	355.13	501.602	105.658	13.4081
85	13 -1957078880	-981.997	666.001	257.689	105.658	0
86	13 9	-10282.6	4011.84	3431.5	105.658	9.05597
87	-13 9	-20258	6062.22	6360.19	105.658	6.69262
88	13 8	210.206	592.399	525.892	105.658	13.0645
89	-13 9	108.857	-6726.54	3206.01	105.658	6.90438
90	-13 9	304.07	-1871.48	823.885	105.658	7.58061
91	13 1	-506.439	-2384.23	1340.62	105.658	7.69962
92	13 9	-903.57	-12177	6438.73	105.658	5.79101
